classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (µm2),Cellular surface area (µm2),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_29_5,559.8752193,1566.092854,362.8458698,983.5600349,0.8862829,-0.4690096
Tom20,AICS-11_29_6,608.5126996,1652.449891,375.4174807,890.6109252,0.9498189,0.2639533
Tom20,AICS-11_29_7,664.7008936,1646.395715,406.6880465,1021.189102,0.8714882,-0.174868
Tom20,AICS-11_29_8,817.1436816,1898.766417,486.0251281,1060.928397,0.8849796,-0.6552651
Tom20,AICS-11_30_2,848.026781,1835.129546,560.1572898,1256.426251,0.8416132,-0.03817283
Tom20,AICS-11_30_3,777.3153673,1630.137872,457.4295608,995.7213995,0.9099374,0.08661175
Tom20,AICS-11_30_4,1045.229656,2210.556474,585.3291699,1221.374765,0.8492242,0.06062312
Tom20,AICS-11_30_5,1038.393199,2290.655262,554.3321715,1259.542989,0.8929355,0.5771672
Tom20,AICS-11_30_6,408.3167491,1308.892416,287.4697426,753.1300516,0.8299588,0.04786291
Tom20,AICS-11_30_7,911.9697621,1951.179254,508.0000692,1235.409006,0.9621154,-0.5929019
Tom20,AICS-11_30_8,581.6430426,1350.183256,362.7523362,928.814526,0.8292618,0.05657507
Tom20,AICS-11_31_1,724.2903101,1712.549491,426.2393016,1079.838773,0.9020014,-0.9313613
Tom20,AICS-11_31_2,819.7286106,1856.387186,496.29577,1157.194538,0.8419148,-0.2381317
Tom20,AICS-11_31_3,594.7037366,1412.425626,393.279357,837.3100961,0.9402019,-1
Tom20,AICS-11_31_4,594.6697244,1430.928276,389.0379067,1076.779773,0.9619797,-0.5648385
Tom20,AICS-11_31_5,756.3978495,1820.708363,443.2292473,1060.482249,0.8681665,-0.7921781
Tom20,AICS-11_31_6,943.2610082,2221.270325,579.5652527,1310.526683,0.9516062,0.4173926
Tom20,AICS-11_31_7,962.4779148,2564.385641,509.7998827,1424.318567,0.9320264,-0.612354
Tom20,AICS-11_31_8,1185.972239,2894.134152,591.7946417,1598.333083,0.7502277,-0.1177854
Tom20,AICS-11_31_9,813.6744348,1774.077604,458.1301706,1082.949212,0.8280236,-0.5412482
